 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.100000,   11.399609,   -1.000000
    0.100000,   11.499605,   -1.000000
    0.100000,   11.599602,   -1.000000
    0.100000,   11.699599,   -1.000000
    0.100000,   11.799595,   -1.000000
    0.100000,   11.899592,   -1.000000
    0.100000,   11.999588,   -1.000000
    0.100000,   12.099585,   -1.000000
    0.100000,   12.199581,   -1.000000
    0.100000,   12.299578,   -1.000000
    0.100000,   12.399575,   -1.000000
    0.100000,   12.499571,   -1.000000
    0.100000,   12.599568,   -1.000000
    0.100000,   12.699564,   -1.000000
    0.100000,   12.799561,   -1.000000
    0.100000,   12.899557,   -1.000000
    0.100000,   12.999554,   -1.000000
    0.100000,   13.099551,   -1.000000
    0.100000,   13.199547,   -1.000000
    0.100000,   13.299544,   -1.000000
    0.100000,   13.399540,   -1.000000
    0.100000,   13.499537,   -1.000000
    0.100000,   13.599533,   -1.000000
    0.100000,   13.699530,   -1.000000
    0.100000,   13.799527,   -1.000000
    0.100000,   13.899523,   -1.000000
    0.100000,   13.999520,   -1.000000
    0.100000,   14.099516,   -1.000000
    0.100000,   14.199513,   -1.000000
    0.100000,   14.299509,   -1.000000
    0.100000,   14.399506,   -1.000000
    0.100000,   14.499503,   -1.000000
    0.100000,   14.599499,   -1.000000
    0.100000,   14.699496,   -1.000000
    0.100000,   14.799492,   -1.000000
    0.100000,   14.899489,   -1.000000
    0.100000,   14.999485,   -1.000000
    0.100000,   15.099482,   -1.000000
    0.100000,   15.199479,   -1.000000
    0.100000,   15.299475,   -1.000000
    0.100000,   15.399472,   -1.000000
    0.100000,   15.499468,   -1.000000
    0.100000,   15.599465,   -1.000000
    0.100000,   15.699461,   -1.000000
    0.100000,   15.799458,   -1.000000
    0.100000,   15.899455,   -1.000000
    0.100000,   15.999451,   -1.000000
    0.100000,   16.099448,   -1.000000
    0.100000,   16.199444,   -1.000000
    0.100000,   16.299441,   -1.000000
    0.100000,   16.399437,   -1.000000
    0.100000,   16.499434,   -1.000000
    0.100000,   16.599431,   -1.000000
    0.100000,   16.699427,   -1.000000
    0.100000,   16.799424,   -1.000000
    0.100000,   16.899420,   -1.000000
    0.100000,   16.999417,   -1.000000
    0.100000,   17.099413,   -1.000000
    0.100000,   17.199410,   -1.000000
    0.100000,   17.299406,   -1.000000
    0.100000,   17.399403,   -1.000000
    0.100000,   17.499400,   -1.000000
    0.100000,   17.599396,   -1.000000
    0.100000,   17.699393,   -1.000000
    0.100000,   17.799389,   -1.000000
    0.100000,   17.899386,   -1.000000
    0.100000,   17.999382,   -1.000000
    0.100000,   18.099379,   -1.000000
    0.100000,   18.199376,   -1.000000
    0.100000,   18.299372,   -1.000000
    0.100000,   18.399369,   -1.000000
    0.100000,   18.499365,   -1.000000
    0.100000,   18.599362,   -1.000000
    0.100000,   18.699358,   -1.000000
    0.100000,   18.799355,   -1.000000
    0.100000,   18.899352,   -1.000000
    0.100000,   18.999348,   -1.000000
    0.100000,   19.099345,   -1.000000
    0.100000,   19.199341,   -1.000000
    0.100000,   19.299338,   -1.000000
    0.100000,   19.399334,   -1.000000
    0.100000,   19.499331,   -1.000000
    0.100000,   19.599328,   -1.000000
    0.100000,   19.699324,   -1.000000
    0.100000,   19.799321,   -1.000000
    0.100000,   19.899317,   -1.000000
    0.100000,   19.999314,   -1.000000
    0.100000,   20.099310,   -1.000000
    0.100000,   20.199307,   -1.000000
    0.100000,   20.299304,   -1.000000
    0.100000,   20.399300,   -1.000000
    0.100000,   20.499297,   -1.000000
    0.100000,   20.599293,   -1.000000
    0.100000,   20.699290,   -1.000000
    0.100000,   20.799286,   -1.000000
    0.100000,   20.899283,   -1.000000
    0.100000,   20.999280,   -1.000000
    0.100000,   21.099276,   -1.000000
    0.100000,   21.199273,   -1.000000
    0.100000,   21.299269,   -1.000000
    0.100000,   21.399266,   -1.000000
    0.100000,   21.499262,   -1.000000
    0.100000,   21.599259,   -1.000000
    0.100000,   21.699256,   -1.000000
    0.100000,   21.799252,   -1.000000
    0.100000,   21.899249,   -1.000000
    0.100000,   21.999245,   -1.000000
    0.100000,   22.099242,   -1.000000
    0.100000,   22.199238,   -1.000000
    0.100000,   22.299235,   -1.000000
    0.100000,   22.399232,   -1.000000
    0.100000,   22.499228,   -1.000000
    0.100000,   22.599225,   -1.000000
    0.100000,   22.699221,   -1.000000
    0.100000,   22.799218,   -1.000000
    0.100000,   22.899214,   -1.000000
    0.100000,   22.999211,   -1.000000
    0.100000,   23.099208,   -1.000000
    0.100000,   23.199204,   -1.000000
    0.100000,   23.299201,   -1.000000
    0.100000,   23.399197,   -1.000000
    0.100000,   23.499194,   -1.000000
